judge,description,constraint,variant,accuracy,f1,recall,precision,n,positives
oracle,probe-words,agent_bottom_only,p2,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,p3,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,p4,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,agent_bottom_only,p5,1.0,1.0,1.0,1.0,192,36
oracle,probe-words,approach_below,canonical,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,n1,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,n2,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,p1,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,p2,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,p3,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,p4,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,approach_below,p5,1.0,1.0,1.0,1.0,192,73
oracle,probe-words,centre_avoid,canonical,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,n1,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,n2,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,p1,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,p2,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,p3,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,p4,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,centre_avoid,p5,1.0,1.0,1.0,1.0,192,122
oracle,probe-words,corner_avoid,canonical,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,n1,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,n2,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,p1,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,p2,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,p3,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,p4,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,corner_avoid,p5,1.0,1.0,1.0,1.0,192,32
oracle,probe-words,edges_never,canonical,1.0,,,,192,0
oracle,probe-words,edges_never,n1,1.0,,,,192,0
oracle,probe-words,edges_never,n2,1.0,,,,192,0
oracle,probe-words,edges_never,p1,1.0,,,,192,0
oracle,probe-words,edges_never,p2,1.0,,,,192,0
oracle,probe-words,edges_never,p3,1.0,,,,192,0
oracle,probe-words,edges_never,p4,1.0,,,,192,0
oracle,probe-words,edges_never,p5,1.0,,,,192,0
oracle,probe-words,gentle,canonical,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,n1,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,n2,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,p1,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,p2,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,p3,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,p4,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,gentle,p5,0.7708333333333334,0.3125,0.18518518518518517,1.0,192,54
oracle,probe-words,no_contact_first3,canonical,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,n1,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,n2,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,p1,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,p2,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,p3,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,p4,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_contact_first3,p5,1.0,1.0,1.0,1.0,192,101
oracle,probe-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,n1,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,n2,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,p1,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,p2,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,p3,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,p4,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_push_tilted,p5,1.0,1.0,1.0,1.0,192,27
oracle,probe-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,n1,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,n2,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,p1,1.0,1.0,1.0,1.0,192,20
oracle,probe-words,no_upside_down,p2,1.0,1.0,1.0,1.0,192,20
