judge,description,constraint,variant,accuracy,f1,recall,precision,n,positives
jev,gt-words,no_contact_first3,p1,0.828125,0.8952380952380952,1.0,0.8103448275862069,64,47
jev,gt-words,no_contact_first3,p2,0.828125,0.8952380952380952,1.0,0.8103448275862069,64,47
jev,gt-words,no_contact_first3,p3,1.0,1.0,1.0,1.0,64,47
jev,gt-words,no_contact_first3,p4,1.0,1.0,1.0,1.0,64,47
jev,gt-words,no_contact_first3,p5,0.8125,0.8867924528301886,1.0,0.7966101694915254,64,47
jev,gt-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,64,12
jev,gt-words,no_push_tilted,n1,0.5625,,0.0,0.0,64,12
jev,gt-words,no_push_tilted,n2,0.859375,0.4,0.25,1.0,64,12
jev,gt-words,no_push_tilted,p1,0.984375,0.9600000000000001,1.0,0.9230769230769231,64,12
jev,gt-words,no_push_tilted,p2,0.96875,0.923076923076923,1.0,0.8571428571428571,64,12
jev,gt-words,no_push_tilted,p3,0.875,0.7499999999999999,1.0,0.6,64,12
jev,gt-words,no_push_tilted,p4,0.828125,0.6857142857142856,1.0,0.5217391304347826,64,12
jev,gt-words,no_push_tilted,p5,1.0,1.0,1.0,1.0,64,12
jev,gt-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,n1,0.734375,,0.0,0.0,64,4
jev,gt-words,no_upside_down,n2,0.9375,,0.0,,64,4
jev,gt-words,no_upside_down,p1,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p2,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p3,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p4,1.0,1.0,1.0,1.0,64,4
jev,gt-words,no_upside_down,p5,1.0,1.0,1.0,1.0,64,4
jev,gt-words,stay_left_half,canonical,0.734375,0.6382978723404256,0.625,0.6521739130434783,64,24
jev,gt-words,stay_left_half,n1,0.265625,0.25396825396825395,0.3333333333333333,0.20512820512820512,64,24
jev,gt-words,stay_left_half,n2,0.703125,0.6885245901639344,0.875,0.5675675675675675,64,24
jev,gt-words,stay_left_half,p1,0.78125,0.5882352941176471,0.4166666666666667,1.0,64,24
jev,gt-words,stay_left_half,p2,0.78125,0.5882352941176471,0.4166666666666667,1.0,64,24
jev,gt-words,stay_left_half,p3,0.640625,0.07999999999999999,0.041666666666666664,1.0,64,24
jev,gt-words,stay_left_half,p4,0.5625,0.611111111111111,0.9166666666666666,0.4583333333333333,64,24
jev,gt-words,stay_left_half,p5,0.75,0.5,0.3333333333333333,1.0,64,24
jev,gt-words,top_never,canonical,0.875,,,0.0,64,0
jev,gt-words,top_never,n1,1.0,,,,64,0
jev,gt-words,top_never,n2,0.8125,,,0.0,64,0
jev,gt-words,top_never,p1,0.96875,,,0.0,64,0
jev,gt-words,top_never,p2,1.0,,,,64,0
jev,gt-words,top_never,p3,0.953125,,,0.0,64,0
jev,gt-words,top_never,p4,0.921875,,,0.0,64,0
jev,gt-words,top_never,p5,0.984375,,,0.0,64,0
jev,gt-words,upright_always,canonical,0.859375,0.9189189189189189,0.85,1.0,64,60
jev,gt-words,upright_always,n1,0.484375,0.6526315789473685,0.5166666666666667,0.8857142857142857,64,60
jev,gt-words,upright_always,n2,0.0625,,0.0,,64,60
jev,gt-words,upright_always,p1,0.671875,0.787878787878788,0.65,1.0,64,60
jev,gt-words,upright_always,p2,0.84375,0.9090909090909091,0.8333333333333334,1.0,64,60
jev,gt-words,upright_always,p3,0.40625,0.5365853658536585,0.36666666666666664,1.0,64,60
jev,gt-words,upright_always,p4,1.0,1.0,1.0,1.0,64,60
jev,gt-words,upright_always,p5,0.53125,0.6666666666666666,0.5,1.0,64,60
jev,probe-words,agent_bottom_only,canonical,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,agent_bottom_only,n1,0.8125,0.05263157894736842,0.027777777777777776,0.5,192,36
jev,probe-words,agent_bottom_only,n2,0.4166666666666667,0.017543859649122806,0.027777777777777776,0.01282051282051282,192,36
jev,probe-words,agent_bottom_only,p1,0.9895833333333334,0.9714285714285714,0.9444444444444444,1.0,192,36
jev,probe-words,agent_bottom_only,p2,0.9166666666666666,0.813953488372093,0.9722222222222222,0.7,192,36
jev,probe-words,agent_bottom_only,p3,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,agent_bottom_only,p4,0.9947916666666666,0.9859154929577464,0.9722222222222222,1.0,192,36
jev,probe-words,agent_bottom_only,p5,0.9895833333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,192,36
jev,probe-words,approach_below,canonical,0.4895833333333333,0.47311827956989244,0.6027397260273972,0.3893805309734513,192,73
jev,probe-words,approach_below,n1,0.4583333333333333,0.5272727272727272,0.7945205479452054,0.3945578231292517,192,73
jev,probe-words,approach_below,n2,0.4791666666666667,0.358974358974359,0.3835616438356164,0.3373493975903614,192,73
jev,probe-words,approach_below,p1,0.6770833333333334,0.31111111111111106,0.1917808219178082,0.8235294117647058,192,73
jev,probe-words,approach_below,p2,0.5260416666666666,0.5081081081081081,0.6438356164383562,0.41964285714285715,192,73
jev,probe-words,approach_below,p3,0.640625,0.12658227848101267,0.0684931506849315,0.8333333333333334,192,73
jev,probe-words,approach_below,p4,0.5833333333333334,0.25925925925925924,0.1917808219178082,0.4,192,73
jev,probe-words,approach_below,p5,0.5260416666666666,0.2945736434108527,0.2602739726027397,0.3392857142857143,192,73
jev,probe-words,centre_avoid,canonical,0.859375,0.900369003690037,1.0,0.8187919463087249,192,122
jev,probe-words,centre_avoid,n1,0.7604166666666666,0.8413793103448275,1.0,0.7261904761904762,192,122
jev,probe-words,centre_avoid,n2,0.203125,0.29493087557603687,0.26229508196721313,0.3368421052631579,192,122
jev,probe-words,centre_avoid,p1,0.7916666666666666,0.8591549295774648,1.0,0.7530864197530864,192,122
jev,probe-words,centre_avoid,p2,0.8854166666666666,0.9172932330827067,1.0,0.8472222222222222,192,122
jev,probe-words,centre_avoid,p3,0.6979166666666666,0.8079470198675497,1.0,0.6777777777777778,192,122
jev,probe-words,centre_avoid,p4,0.8645833333333334,0.9037037037037037,1.0,0.8243243243243243,192,122
jev,probe-words,centre_avoid,p5,0.78125,0.8467153284671532,0.9508196721311475,0.7631578947368421,192,122
jev,probe-words,corner_avoid,canonical,0.9635416666666666,0.8955223880597014,0.9375,0.8571428571428571,192,32
jev,probe-words,corner_avoid,n1,0.890625,0.7341772151898734,0.90625,0.6170212765957447,192,32
jev,probe-words,corner_avoid,n2,0.14583333333333334,0.25454545454545446,0.875,0.14893617021276595,192,32
jev,probe-words,corner_avoid,p1,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,corner_avoid,p2,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,corner_avoid,p3,0.921875,0.810126582278481,1.0,0.6808510638297872,192,32
jev,probe-words,corner_avoid,p4,0.7708333333333334,,0.0,0.0,192,32
jev,probe-words,corner_avoid,p5,0.984375,0.9523809523809523,0.9375,0.967741935483871,192,32
jev,probe-words,edges_never,canonical,1.0,,,,192,0
jev,probe-words,edges_never,n1,0.9895833333333334,,,0.0,192,0
jev,probe-words,edges_never,n2,0.640625,,,0.0,192,0
jev,probe-words,edges_never,p1,0.984375,,,0.0,192,0
jev,probe-words,edges_never,p2,1.0,,,,192,0
jev,probe-words,edges_never,p3,1.0,,,,192,0
jev,probe-words,edges_never,p4,0.953125,,,0.0,192,0
jev,probe-words,edges_never,p5,0.9947916666666666,,,0.0,192,0
jev,probe-words,gentle,canonical,0.8958333333333334,0.7916666666666667,0.7037037037037037,0.9047619047619048,192,54
jev,probe-words,gentle,n1,0.17708333333333334,0.29464285714285715,0.6111111111111112,0.19411764705882353,192,54
jev,probe-words,gentle,n2,0.8802083333333334,0.7578947368421053,0.6666666666666666,0.8780487804878049,192,54
jev,probe-words,gentle,p1,0.859375,0.7652173913043478,0.8148148148148148,0.7213114754098361,192,54
jev,probe-words,gentle,p2,0.9166666666666666,0.8571428571428572,0.8888888888888888,0.8275862068965517,192,54
jev,probe-words,gentle,p3,0.8958333333333334,0.7999999999999999,0.7407407407407407,0.8695652173913043,192,54
jev,probe-words,gentle,p4,0.9270833333333334,0.8627450980392156,0.8148148148148148,0.9166666666666666,192,54
jev,probe-words,gentle,p5,0.8333333333333334,0.7142857142857143,0.7407407407407407,0.6896551724137931,192,54
jev,probe-words,no_contact_first3,canonical,0.828125,0.8533333333333333,0.9504950495049505,0.7741935483870968,192,101
jev,probe-words,no_contact_first3,n1,0.703125,0.7015706806282722,0.6633663366336634,0.7444444444444445,192,101
jev,probe-words,no_contact_first3,n2,0.3229166666666667,0.4881889763779527,0.6138613861386139,0.40522875816993464,192,101
jev,probe-words,no_contact_first3,p1,0.84375,0.8648648648648649,0.9504950495049505,0.7933884297520661,192,101
jev,probe-words,no_contact_first3,p2,0.8645833333333334,0.8807339449541284,0.9504950495049505,0.8205128205128205,192,101
jev,probe-words,no_contact_first3,p3,0.9427083333333334,0.9447236180904524,0.9306930693069307,0.9591836734693877,192,101
jev,probe-words,no_contact_first3,p4,0.9583333333333334,0.9591836734693878,0.9306930693069307,0.9894736842105263,192,101
jev,probe-words,no_contact_first3,p5,0.65625,0.7518796992481204,0.9900990099009901,0.6060606060606061,192,101
jev,probe-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,192,27
jev,probe-words,no_push_tilted,n1,0.7083333333333334,,0.0,0.0,192,27
jev,probe-words,no_push_tilted,n2,0.8802083333333334,0.25806451612903225,0.14814814814814814,1.0,192,27
jev,probe-words,no_push_tilted,p1,0.9947916666666666,0.9818181818181818,1.0,0.9642857142857143,192,27
jev,probe-words,no_push_tilted,p2,0.9947916666666666,0.9818181818181818,1.0,0.9642857142857143,192,27
jev,probe-words,no_push_tilted,p3,0.953125,0.8571428571428571,1.0,0.75,192,27
jev,probe-words,no_push_tilted,p4,0.8541666666666666,0.6585365853658536,1.0,0.4909090909090909,192,27
jev,probe-words,no_push_tilted,p5,1.0,1.0,1.0,1.0,192,27
jev,probe-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,192,20
jev,probe-words,no_upside_down,n1,0.75,,0.0,0.0,192,20
jev,probe-words,no_upside_down,n2,0.9010416666666666,0.1739130434782609,0.1,0.6666666666666666,192,20
jev,probe-words,no_upside_down,p1,1.0,1.0,1.0,1.0,192,20
jev,probe-words,no_upside_down,p2,0.9947916666666666,0.975609756097561,1.0,0.9523809523809523,192,20
jev,probe-words,no_upside_down,p3,1.0,1.0,1.0,1.0,192,20
jev,probe-words,no_upside_down,p4,1.0,1.0,1.0,1.0,192,20
jev,probe-words,no_upside_down,p5,1.0,1.0,1.0,1.0,192,20
jev,probe-words,stay_left_half,canonical,0.7447916666666666,0.5585585585585585,0.5535714285714286,0.5636363636363636,192,56
jev,probe-words,stay_left_half,n1,0.40625,0.09523809523809523,0.10714285714285714,0.08571428571428572,192,56
jev,probe-words,stay_left_half,n2,0.6875,0.620253164556962,0.875,0.4803921568627451,192,56
jev,probe-words,stay_left_half,p1,0.84375,0.6341463414634146,0.4642857142857143,1.0,192,56
jev,probe-words,stay_left_half,p2,0.84375,0.6341463414634146,0.4642857142857143,1.0,192,56
jev,probe-words,stay_left_half,p3,0.7135416666666666,0.0983606557377049,0.05357142857142857,0.6,192,56
jev,probe-words,stay_left_half,p4,0.5052083333333334,0.5410628019323671,1.0,0.3708609271523179,192,56
jev,probe-words,stay_left_half,p5,0.75,0.25,0.14285714285714285,1.0,192,56
jev,probe-words,top_never,canonical,0.90625,,,0.0,192,0
jev,probe-words,top_never,n1,1.0,,,,192,0
jev,probe-words,top_never,n2,0.875,,,0.0,192,0
jev,probe-words,top_never,p1,0.9895833333333334,,,0.0,192,0
jev,probe-words,top_never,p2,1.0,,,,192,0
jev,probe-words,top_never,p3,0.9739583333333334,,,0.0,192,0
jev,probe-words,top_never,p4,0.9166666666666666,,,0.0,192,0
jev,probe-words,top_never,p5,0.9791666666666666,,,0.0,192,0
jev,probe-words,upright_always,canonical,0.8177083333333334,0.8736462093862817,0.7756410256410257,1.0,192,156
jev,probe-words,upright_always,n1,0.21354166666666666,0.35193133047210295,0.26282051282051283,0.5324675324675324,192,156
jev,probe-words,upright_always,n2,0.1875,,0.0,,192,156
jev,probe-words,upright_always,p1,0.75,0.8181818181818181,0.6923076923076923,1.0,192,156
jev,probe-words,upright_always,p2,0.7760416666666666,0.8401486988847583,0.7243589743589743,1.0,192,156
jev,probe-words,upright_always,p3,0.5260416666666666,0.5882352941176471,0.4166666666666667,1.0,192,156
jev,probe-words,upright_always,p4,0.984375,0.9902912621359222,0.9807692307692307,1.0,192,156
jev,probe-words,upright_always,p5,0.421875,0.44776119402985076,0.28846153846153844,1.0,192,156
keyword,gt-words,agent_bottom_only,canonical,1.0,1.0,1.0,1.0,64,12
keyword,gt-words,agent_bottom_only,n1,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,n2,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,p1,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,p2,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,p3,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,p4,0.8125,,0.0,,64,12
keyword,gt-words,agent_bottom_only,p5,0.8125,,0.0,,64,12
keyword,gt-words,approach_below,canonical,0.59375,0.13333333333333333,0.07142857142857142,1.0,64,28
keyword,gt-words,approach_below,n1,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,n2,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,p1,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,p2,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,p3,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,p4,0.5625,,0.0,,64,28
keyword,gt-words,approach_below,p5,0.5625,,0.0,,64,28
keyword,gt-words,centre_avoid,canonical,1.0,1.0,1.0,1.0,64,40
keyword,gt-words,centre_avoid,n1,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,n2,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,p1,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,p2,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,p3,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,p4,0.375,,0.0,,64,40
keyword,gt-words,centre_avoid,p5,0.375,,0.0,,64,40
keyword,gt-words,corner_avoid,canonical,1.0,1.0,1.0,1.0,64,16
keyword,gt-words,corner_avoid,n1,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,n2,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,p1,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,p2,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,p3,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,p4,0.75,,0.0,,64,16
keyword,gt-words,corner_avoid,p5,0.75,,0.0,,64,16
keyword,gt-words,edges_never,canonical,1.0,,,,64,0
keyword,gt-words,edges_never,n1,1.0,,,,64,0
keyword,gt-words,edges_never,n2,1.0,,,,64,0
keyword,gt-words,edges_never,p1,1.0,,,,64,0
keyword,gt-words,edges_never,p2,1.0,,,,64,0
keyword,gt-words,edges_never,p3,1.0,,,,64,0
keyword,gt-words,edges_never,p4,1.0,,,,64,0
keyword,gt-words,edges_never,p5,1.0,,,,64,0
keyword,gt-words,gentle,canonical,0.65625,0.47619047619047616,0.3125,1.0,64,32
keyword,gt-words,gentle,n1,0.5,,0.0,,64,32
keyword,gt-words,gentle,n2,0.65625,0.47619047619047616,0.3125,1.0,64,32
keyword,gt-words,gentle,p1,0.5,,0.0,,64,32
keyword,gt-words,gentle,p2,0.5,,0.0,,64,32
keyword,gt-words,gentle,p3,0.5,,0.0,,64,32
keyword,gt-words,gentle,p4,0.5,,0.0,,64,32
keyword,gt-words,gentle,p5,0.5,,0.0,,64,32
keyword,gt-words,no_contact_first3,canonical,1.0,1.0,1.0,1.0,64,47
keyword,gt-words,no_contact_first3,n1,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,n2,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,p1,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,p2,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,p3,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,p4,0.265625,,0.0,,64,47
keyword,gt-words,no_contact_first3,p5,0.265625,,0.0,,64,47
keyword,gt-words,no_push_tilted,canonical,1.0,1.0,1.0,1.0,64,12
keyword,gt-words,no_push_tilted,n1,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,n2,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,p1,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,p2,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,p3,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,p4,0.8125,,0.0,,64,12
keyword,gt-words,no_push_tilted,p5,0.8125,,0.0,,64,12
keyword,gt-words,no_upside_down,canonical,1.0,1.0,1.0,1.0,64,4
keyword,gt-words,no_upside_down,n1,0.9375,,0.0,,64,4
keyword,gt-words,no_upside_down,n2,1.0,1.0,1.0,1.0,64,4
keyword,gt-words,no_upside_down,p1,0.9375,,0.0,,64,4
keyword,gt-words,no_upside_down,p2,0.9375,,0.0,,64,4
keyword,gt-words,no_upside_down,p3,0.9375,,0.0,,64,4
keyword,gt-words,no_upside_down,p4,0.9375,,0.0,,64,4
keyword,gt-words,no_upside_down,p5,0.9375,,0.0,,64,4
keyword,gt-words,stay_left_half,canonical,0.53125,0.6153846153846153,1.0,0.4444444444444444,64,24
keyword,gt-words,stay_left_half,n1,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,n2,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,p1,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,p2,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,p3,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,p4,0.625,,0.0,,64,24
keyword,gt-words,stay_left_half,p5,0.625,,0.0,,64,24
keyword,gt-words,top_never,canonical,1.0,,,,64,0
